title,url,duration,thumbnail
Face Mesh Detection with ml5.js,https://www.youtube.com/watch?v=R5UZsIwPbJA,1906,https://i9.ytimg.com/vi/R5UZsIwPbJA/hqdefault_custom_3.jpg?sqp=CIT5oroG-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtMrZUjO_QmYAfpjWwHeHiMJA-7g
Hand Pose Detection with ml5.js,https://www.youtube.com/watch?v=vfNHdVbE-l4,956,https://i.ytimg.com/vi/vfNHdVbE-l4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoO5FvLguwyYeTKJgucAJj330u3Q
Pose Estimation with ml5.js,https://www.youtube.com/watch?v=T99fNXTUUaQ,1286,https://i.ytimg.com/vi/T99fNXTUUaQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf566bHj6ARUhF34K6SOubP5FKZA
Image Classification with ml5.js,https://www.youtube.com/watch?v=pbjR20eTLVs,1910,https://i.ytimg.com/vi/pbjR20eTLVs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyQg8zV8xedWPC9_1ZEswKYNKSBA
Coding Challenge 185: Unfolding Fractals,https://www.youtube.com/watch?v=MazpwQNdJYQ,1864,https://i.ytimg.com/vi/MazpwQNdJYQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzv9sjkL2_u1BmejeKW6JjqC9o2A
ml5.js 1.0 and Guest Conductor Patt Vira,https://www.youtube.com/watch?v=2h8VArJ3gnQ,3314,https://i.ytimg.com/vi/2h8VArJ3gnQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBY4n9c1a0MvWDvRu5JUmm2LVGExQ
Collisions Without a Physics Library! (Coding Challenge 184),https://www.youtube.com/watch?v=dJNFPv9Mj-Y,1865,https://i.ytimg.com/vi/dJNFPv9Mj-Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbQUvXzEoRYOwbelQvfnt7qcNMoQ
Coding Challenge 183: Paper Marbling Algorithm,https://www.youtube.com/watch?v=p7IGZTjC008,1930,https://i.ytimg.com/vi/p7IGZTjC008/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvubc7LkRyEyTzUVV6wRKg1AxDsg
Coding Challenge 182: Apollonian Gasket Fractal,https://www.youtube.com/watch?v=6UlGLB_jiCs,3408,https://i.ytimg.com/vi/6UlGLB_jiCs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDubDgzvHQcdCTD3DqBNa3DuWzYQg
Coding Challenge 181: Weighted Voronoi Stippling,https://www.youtube.com/watch?v=Bxdt6T_1qgc,1739,https://i.ytimg.com/vi/Bxdt6T_1qgc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrIGBRKMoFM-YNWoXRdbJE5SIgXg
Coding Challenge 180: Falling Sand,https://www.youtube.com/watch?v=L4u7Zy_b868,1380,https://i.ytimg.com/vi/L4u7Zy_b868/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCpIU94Es6Sh_oANtz66k4g787TvQ
Coding Challenge 179: Elementary Cellular Automata,https://www.youtube.com/watch?v=Ggxt06qSAe4,1301,https://i.ytimg.com/vi/Ggxt06qSAe4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAj-0Mq_eRCSOLwrYqGWb_5fYQLrw
I made a Discord Bot that says Choo Choo,https://www.youtube.com/watch?v=AvQcTjB3gPg,1995,https://i.ytimg.com/vi/AvQcTjB3gPg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnxbml4j7AQBEqRNN6L6EQmAIxww
How to Set Up a Node.js Project,https://www.youtube.com/watch?v=wM3TEvQn2hw,1484,https://i.ytimg.com/vi/wM3TEvQn2hw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlUlQV639_YZtdLGeNMHtee5rlzA
