title,url,description,duration,thumbnail
Face Mesh Detection with ml5.js,https://www.youtube.com/watch?v=R5UZsIwPbJA,"In this video, I explore the FaceMesh model using ml5.js. I demonstrate how to track all 468 face landmark positions as well as texture map an image onto the triangular mesh with uv coordinates....",1906,https://i9.ytimg.com/vi/R5UZsIwPbJA/hqdefault_custom_3.jpg?sqp=CIT5oroG-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtMrZUjO_QmYAfpjWwHeHiMJA-7g
Hand Pose Detection with ml5.js,https://www.youtube.com/watch?v=vfNHdVbE-l4,"In this video, I explore the HandPose model using ml5.js. I'll demonstrate how to track hand keypoints and create an interactive painting sketch using gestures. Code: https://thecodingtrain.com/tra...",956,https://i.ytimg.com/vi/vfNHdVbE-l4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoO5FvLguwyYeTKJgucAJj330u3Q
Pose Estimation with ml5.js,https://www.youtube.com/watch?v=T99fNXTUUaQ,"Strike a pose! In this video, I explore the BodyPose model in ml5.js with MoveNet and BlazePose, showing how to track body keypoints and visualize 'skeleton' connections using live video. Code:...",1286,https://i.ytimg.com/vi/T99fNXTUUaQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf566bHj6ARUhF34K6SOubP5FKZA
Image Classification with ml5.js,https://www.youtube.com/watch?v=pbjR20eTLVs,This video covers image classification in ml5.js 1.0. I demonstrate both the default MobileNet model as well as how to train your own classifier with transfer leraning and teachable machine....,1910,https://i.ytimg.com/vi/pbjR20eTLVs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyQg8zV8xedWPC9_1ZEswKYNKSBA
Coding Challenge 185: Unfolding Fractals,https://www.youtube.com/watch?v=MazpwQNdJYQ,"25% off The Nature of Code book with code CHOOCHOO at https://natureofcode.com (comes with exclusive sticker+bookmark).

The Dragon Curve fractal is created by repeatedly folding a strip of...",1864,https://i.ytimg.com/vi/MazpwQNdJYQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzv9sjkL2_u1BmejeKW6JjqC9o2A
ml5.js 1.0 and Guest Conductor Patt Vira,https://www.youtube.com/watch?v=2h8VArJ3gnQ,"The ml5.js library recently celebrated it's 1.0 release! In this video, I provide an overview of the new release and cover how to use the FaceMesh model. Guest Conductor Patt Vira (http://youtube.c...",3314,https://i.ytimg.com/vi/2h8VArJ3gnQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBY4n9c1a0MvWDvRu5JUmm2LVGExQ
Collisions Without a Physics Library! (Coding Challenge 184),https://www.youtube.com/watch?v=dJNFPv9Mj-Y,"What happens when two circles collide in a p5.js canvas? In this video, I examine the math and implement idealized elastic collisions in a JavaScript physics simulation. This video supplements...",1865,https://i.ytimg.com/vi/dJNFPv9Mj-Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbQUvXzEoRYOwbelQvfnt7qcNMoQ
Coding Challenge 183: Paper Marbling Algorithm,https://www.youtube.com/watch?v=p7IGZTjC008,"All aboard as I attempt to simulate the artistic process of paper marbling. The algorithm is based on the paper 'Mathematical Marbling' by S. Lu, A. Jaffer, X. Jin, H. Zhao, and X. Mao. The...",1930,https://i.ytimg.com/vi/p7IGZTjC008/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvubc7LkRyEyTzUVV6wRKg1AxDsg
Coding Challenge 182: Apollonian Gasket Fractal,https://www.youtube.com/watch?v=6UlGLB_jiCs,"Happy Pi Day 2024! In this video, I attempt to create an Apollonian Gasket using the Descartes Circle Theorem and complex numbers. So many circles! Code: https://thecodingtrain.com/challenges/182-a...",3408,https://i.ytimg.com/vi/6UlGLB_jiCs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDubDgzvHQcdCTD3DqBNa3DuWzYQg
Coding Challenge 181: Weighted Voronoi Stippling,https://www.youtube.com/watch?v=Bxdt6T_1qgc,Stippling is an artistic technique that uses numerous dots to craft an image. In this coding challenge I attempt to implement a weighted Voronoi stippling algorithm with p5.js along with the...,1739,https://i.ytimg.com/vi/Bxdt6T_1qgc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrIGBRKMoFM-YNWoXRdbJE5SIgXg
Coding Challenge 180: Falling Sand,https://www.youtube.com/watch?v=L4u7Zy_b868,"It's Genuary 2024! Watch as I attempt to build a falling sand simulation in p5.js using a grid of pixels and simple rules. Code: https://thecodingtrain.com/challenges/180-falling-sand

🚀...",1380,https://i.ytimg.com/vi/L4u7Zy_b868/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCpIU94Es6Sh_oANtz66k4g787TvQ
Coding Challenge 179: Elementary Cellular Automata,https://www.youtube.com/watch?v=Ggxt06qSAe4,How is nature hidden in a pile of 0s and 1s? Let's find out by coding a p5.js visualization of the Wolfram Elementary Cellular Automaton! Code: https://thecodingtrain.com/challenges/179-wolfram-ca...,1301,https://i.ytimg.com/vi/Ggxt06qSAe4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAj-0Mq_eRCSOLwrYqGWb_5fYQLrw
